,coefficient,word
73,-0.3104140744238614,prayforsyria
74,-0.30709250569761304,write
75,-0.30706401550590934,finally
76,-0.3048008485990319,believe
77,-0.29518620290890646,question
78,-0.2934041106177931,agu
79,-0.2922845695885591,know
80,-0.2920098878019846,miles
81,-0.2895109365181759,reality
82,-0.285571909092246,together
83,-0.2822165648905946,real
84,-0.2805157762415369,poster
85,-0.27934215121117534,train
86,-0.27778521795010713,families
87,-0.2761164346502325,amaze
88,-0.274652462581993,would
89,-0.27428564544424683,excellent
90,-0.2738519887841204,able
91,-0.27310865887942537,internetofthings
92,-0.2729635817299863,do
93,-0.27266310498404744,blog
94,-0.2718729294670596,essay
95,-0.27170615655792,also
96,-0.27137435627277373,learn
97,-0.2700971238651092,scar
98,-0.2688736509746882,sad
99,-0.267529764908769,suya
100,-0.26565167253230526,heart
101,-0.26565145673518736,na
102,-0.2645168379606628,sir
103,-0.2633385927391834,hurricaneirma
104,-0.2613879091191947,well
105,-0.2605514341896547,hate
106,-0.2538504049991833,mean
107,-0.25281142498550424,future
108,-0.2526779580522277,car
109,-0.2513201408081639,prayfortheworld
110,-0.24938976507341035,keep
111,-0.24905476740491173,ready
112,-0.24829318787031626,day
113,-0.2432818107032746,beautiful
114,-0.24231971501944666,many
115,-0.24164862171102997,railminindia
116,-0.2394404740873655,stay
117,-0.23788462013001427,suit
118,-0.23634281667335155,hard
119,-0.23630547448579337,nothing
120,-0.23411785160027052,good
121,-0.23366471990970425,worst
122,-0.2333149893465212,happy
123,-0.23310133531333646,core
124,-0.23171404316920652,sense
125,-0.23056361749123885,else
126,-0.23019660516352927,pachube
127,-0.23001041422767954,huge
128,-0.2296265122275834,yes
129,-0.22891146882154442,yeah
130,-0.22841562638409812,mobile
131,-0.22786304706745922,film
132,-0.2252906441753198,avoid
133,-0.2244759139583445,really
134,-0.22399214270141118,compute
135,-0.22380144640877678,excite
136,-0.2236769952182067,enjoy
137,-0.22285434909337143,game
138,-0.2226979857508833,kiss
139,-0.22236375214281479,busy
140,-0.22199315680177487,sure
141,-0.22010814014324215,sit
142,-0.21979307361769454,climatechange
143,-0.21876289793732878,wastesegregation
144,-0.21822533601607272,eclipse
145,-0.2175005155220179,prep
146,-0.21702821531066505,daily
147,-0.21501028117996254,business
148,-0.21285492613105317,airport
149,-0.21141040480905257,give
150,-0.21140200183407187,theagu
151,-0.20945776260840007,already
152,-0.20940623673741274,member
153,-0.2065097709790899,awesome
154,-0.20627923143579086,meet
155,-0.2052017890122519,posters
156,-0.20502617922586133,best
157,-0.20379791507859724,away
158,-0.20354096141809153,everything
159,-0.20248862176485188,pls
160,-0.2019125480885733,full
