,coefficient,word
266,-0.18710083480340756,massacre
267,-0.1867917190896639,something
268,-0.1863170598425542,decide
269,-0.18535396670484594,suffer
270,-0.18513988602504522,billionaire
271,-0.18484109671752988,trust
272,-0.18463166301496362,literally
273,-0.18450093428496234,faith
274,-0.1839117360285072,attention
275,-0.1837030035730133,bitch
276,-0.1833583177050926,siegedhaka
277,-0.18311153876124686,soviet
278,-0.18184312870977717,do
279,-0.1814848995650168,cool
280,-0.18020736473265084,coincidence
281,-0.17797464499434287,waco
282,-0.17730646670034947,sure
283,-0.17704339455193152,white
284,-0.17595312469135455,ferrari
285,-0.1757292790684835,govt
286,-0.1753222983470988,could
287,-0.17471149800423041,djokovic
288,-0.17269610481427125,wan
289,-0.17224638393716363,throwbackthursday
290,-0.1721607064548575,vs
291,-0.17211336114646214,land
292,-0.17168646697706944,glad
293,-0.17138508047082554,sisters
294,-0.16980247389921,everybody
295,-0.1697626623608959,maybe
296,-0.16868057175648515,violence
297,-0.16842500452759548,remember
298,-0.1684067714067703,folks
299,-0.16818708878454172,hasina
300,-0.16767055477671186,reason
301,-0.16733071053657403,pain
302,-0.16722854098747328,fan
303,-0.16668555078554823,everything
304,-0.16628518246750051,women
305,-0.16628073821262726,prayforbrazil
306,-0.16602961230712293,hang
307,-0.16595499112158402,spirit
308,-0.16569420087314482,lot
309,-0.16464588928068843,excuse
310,-0.1645139707329107,korea
311,-0.16445466891998972,mb
312,-0.16397142563447253,awesome
313,-0.1630885522646949,honestly
314,-0.16307890561993338,yolo
315,-0.16287821017008489,beggar
316,-0.16267979598416726,universe
317,-0.16263280728462198,gun
318,-0.16244314979029156,prayfortheworld
319,-0.1623446368256169,evil
320,-0.16225599158296036,insane
321,-0.1622267637515261,earth
322,-0.16217282637510969,westtx
323,-0.16215715032375805,ass
324,-0.16175353840973725,protesters
325,-0.16130922042074128,hawaii
326,-0.16117006345543605,event
327,-0.160973175598935,movie
328,-0.1601455477917867,co
329,-0.16007578993350757,football
330,-0.15987368725871173,one
331,-0.15952156173114185,ta
332,-0.15932396561448198,tweet
333,-0.15889939915306062,enough
334,-0.15887963189114238,proud
335,-0.15855373575029244,mit
336,-0.1585152131063968,comment
337,-0.15795134979471206,lobang
338,-0.15651696642333593,positive
339,-0.15618352640873745,gift
340,-0.1554404834764496,lucky
341,-0.15454420345502723,mi
342,-0.15394073432643068,rid
